developer_name,english_name,common_aliases,projects_total,projects_completed,projects_active,total_units,avg_completion_percent,completion_rate
نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م,Nshama,"Nshama Development,Town Square",36,11,25,7244,38.27777777777778,30.6
داماك كريسنت للعقارات (ش.ذ.م.م),DAMAC,"Damac Crescent,DAMAC Properties",50,38,12,6848,80.76,76.0
داماك ميري للاستثمار ش.ذ.م.م,DAMAC,"Damac Miri",14,0,14,6165,0.0,0.0
مدينه دبى الطبيه منطقه حرة - ذ.م.م.,TECOM,"Dubai Healthcare City,DHCC",18,8,10,5656,57.888888888888886,44.4
شركة تطوير مجمع دبي للاستثمار (ذ. م. م),Dubai Investments,"DIP,Dubai Investment Park",17,5,12,5117,50.35294117647059,29.4
انترناشونال سيتي ( ش.ذ.م.م ),Nakheel,"International City,IC",41,19,22,4991,55.90243902439025,46.3
ميناء راشد العقارية ش.ذ.م.م,Meraas,"Mina Rashid,Port Rashid",20,1,19,4442,14.05,5.0
جيه ايه جي للتطوير ش.ذ.م.م,Reportage,"JAG Development",16,3,13,4230,20.875,18.8
شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م,Seven Tides,"Frontline Investment,Seven Tides International",45,30,15,3920,74.31111111111112,66.7
واحة الجزيرة العقارية (ش.ذ.م.م),Wasl,"Al Wasl Properties,Wasl Asset Management",31,1,30,3473,42.806451612903224,3.2
بارك 1 ش.ذ.م.م,Emaar,"The Park",5,2,3,3284,59.6,40.0
ماجد الفطيم لتشغيل مشاريع المدن المتكاملة الاماراتية ش.ذ.م.م,Majid Al Futtaim,"MAF,Majid Al Futtaim Properties",15,2,13,3222,31.666666666666668,13.3
شركة النخلة - جميرا (ش.ذ.م.م),Nakheel,"Palm Jumeirah",28,17,11,3151,77.64285714285714,60.7
جميرا هيلز ديفيلوبمنت ش.ذ.م.م,Meraas,"Jumeirah Hills",10,4,6,2900,61.1,40.0
مركز دبي التجاري العالمي ش.ذ.م.م,DWTC,"Dubai World Trade Centre,DWTC",3,3,0,2685,100.0,100.0
نشمي ديفلوبمنت ش.ذ.م.م,Nshama,"Nashmi Development",5,5,0,2604,100.0,100.0
إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م,Emaar,"Emaar South,Dubai South Emaar",29,10,19,2454,41.03448275862069,34.5
مرسى دبي المرحلة الاولى (ش.ذ.م.م),Emaar,"Dubai Marina",7,7,0,2315,100.0,100.0
إكسبو سيتي للتطوير العقاري ش م ح,Expo City Dubai,"Expo City,District 2020",8,0,8,1952,24.375,0.0
الخيل هايتس ش.ذ.م.م,Dubai Properties,"Al Khail Heights",1,1,0,1821,100.0,100.0
زعبيل سكوير ش.ذ.م.م,Dubai Holding,"Zabeel Square",1,0,1,1733,5.0,0.0
شركة الياس ومصطفى كلداري للعقارات (ذ.م.م),Kaldari Group,"Kaldari Real Estate",2,0,2,1628,12.0,0.0
شمال العقارية ش.ذ.م.م,Deyaar,"Shamal Real Estate,Deyaar Development",20,1,19,1625,26.45,5.0
الحي الاول - منطقة حرة,TECOM,"District One,The First Group",16,15,1,1619,94.1875,93.8
النخلة  - ديره (ش.ذ.م.م),Nakheel,"Palm Deira",24,0,24,1579,6.125,0.0
الحبتور سيتي للتطوير العقاري (فرع من دبي الوطنية للإستثمار(ش.ذ.م.م)),Al Habtoor Group,"Al Habtoor City,Habtoor",1,1,0,1467,100.0,100.0
أتش أر أي للتطوير العقاري ش.ذ.م.م,Tiger Group,"HRI Development",1,0,1,1429,0.0,0.0
العالم ( ش. ذ. م. م ),Nakheel,"The World Islands,The World",4,0,4,1383,76.0,0.0
دبي هاربور كوميونيتي ذ.م.م,Meraas,"Dubai Harbour",4,0,4,1315,4.75,0.0
دبي للاستثمار العقاري (ش ذ م م),Dubai Investments,"Dubai Investment Properties",3,3,0,1255,100.0,100.0
 ليمتلس ش .ذ.م.م,Limitless,"Limitless LLC",3,3,0,1252,100.0,100.0
دي دابليو تي سي إعمار ذ.م.م,Emaar,"DWTC Emaar",1,0,1,1004,1.0,0.0
هاربور العقارية ذ.م.م,Select Group,"Harbour Real Estate",2,0,2,976,18.0,0.0
مؤسسة مدينة ميدان,Meydan,"Meydan City Corporation",6,5,1,936,99.66666666666667,83.3
الاصيل للاستثمارات ش.ذ.م.م,Al Barari,"Aseel Investments,Al Barari",1,1,0,910,100.0,100.0
دي اتش ار اي 2 بي تي اس ش.ذ.م.م,Dubai Holding,"DHRE,Dubai Holding Real Estate",5,0,5,889,0.4,0.0
سيتي ووك ريزيدينشال 1 ش.ذ.م.م,Meraas,"City Walk",5,5,0,855,100.0,100.0
إلينجتون كارما للتطوير ذ.م.م,Ellington,"Ellington Properties,Ellington Karma",1,0,1,743,0.0,0.0
قريه الثقافه ( ش.ذ.م.م),Dubai Properties,"Culture Village",5,2,3,669,44.2,40.0
اولد تاون فيوز ش.ذ.م.م,Emaar,"Old Town Views,Downtown Dubai",1,1,0,602,100.0,100.0
عقارات جميرا جولف ش.ذ.م.م,Emaar,"Jumeirah Golf Estates,JGE",25,19,6,589,78.68,76.0
نشاما للتطوير ش.ذ.م.م,Nshama,"Nshama Development",2,2,0,587,100.0,100.0
اعمار بوادي (ذ م م),Emaar,"Emaar Beachfront,Emaar Beach",2,0,2,576,23.0,0.0
دار جلوبال لكشري للتطوير العقاري ذ.م.م ش.ش.و,Dar Global,"Dar Global,Trump Tower Dubai",1,0,1,574,0.0,0.0
اراد للتطوير ذ م م للشخص الواحد,Arada,"Arada Development",1,0,1,546,0.0,0.0
داماك ورلد ريل استيت ش.ذ.م.م,DAMAC,"Damac World",1,1,0,526,100.0,100.0
روف للضيافة ش.ذ.م.م,Emaar,"Rove Hotels,Rove Hospitality",1,1,0,517,100.0,100.0
ديفكو لتطوير العقارات ش.ذ.م.م,Devco,"Devco Development",2,1,1,513,94.5,50.0
ون زعبيل ذ.م.م,ICD Brookfield,"One Zabeel,ICD",1,1,0,486,100.0,100.0
سيفين مايفير للتطوير العقاري ش.ذ.م.م,Seven Tides,"Seven Mayfair",1,0,1,473,0.0,0.0
